County,County Code,Deaths,Population,Crude Rate/100k
"Rockdale County, GA",13247,46,90939,50.6
"Washington County, OH",39167,30,59652,50.3
"Clackamas County, OR",41005,212,421596,50.3
"Bossier Parish, LA",22015,64,127275,50.3
"Atascosa County, TX",48013,26,51724,50.3
"Rutland County, VT",50021,29,57764,50.2
"Los Angeles County, CA",6037,4991,9943046,50.2
"Saline County, KS",20169,27,53926,50.1
"Muskingum County, OH",39119,43,86020,50
"Wilson County, TX",48493,26,52023,50
"Mississippi County, AR",5093,20,40066,49.9
"Minnehaha County, SD",46099,98,196659,49.8
"Henrico County, VA",51087,166,333766,49.7
"Butler County, PA",42019,94,189135,49.7
"Ada County, ID",16001,245,494399,49.6
